timestamp,user_id,consumption_kwh,is_theft,theft_type
2026-01-01 00:00:00,U001,1.42,0,none
2026-01-01 01:00:00,U001,1.31,0,none
2026-01-01 02:00:00,U001,1.28,0,none
2026-01-01 03:00:00,U001,1.22,0,none
2026-01-01 04:00:00,U001,1.19,0,none
2026-01-01 05:00:00,U001,1.35,0,none
2026-01-01 06:00:00,U001,1.66,0,none
2026-01-01 07:00:00,U001,2.10,0,none
2026-01-01 08:00:00,U001,2.42,0,none
2026-01-01 09:00:00,U001,2.15,0,none
2026-01-01 10:00:00,U001,1.92,0,none
2026-01-01 11:00:00,U001,1.74,0,none
2026-01-01 12:00:00,U001,1.70,0,none
2026-01-01 13:00:00,U001,1.78,0,none
2026-01-01 14:00:00,U001,1.83,0,none
2026-01-01 15:00:00,U001,1.90,0,none
2026-01-01 16:00:00,U001,2.05,0,none
2026-01-01 17:00:00,U001,2.30,0,none
2026-01-01 18:00:00,U001,2.55,0,none
2026-01-01 19:00:00,U001,2.40,0,none
2026-01-01 20:00:00,U001,2.10,0,none
2026-01-01 21:00:00,U001,1.88,0,none
2026-01-01 22:00:00,U001,1.70,0,none
2026-01-01 23:00:00,U001,1.55,0,none
2026-01-01 00:00:00,U014,0.18,1,meter_bypass
2026-01-01 01:00:00,U014,0.15,1,meter_bypass
2026-01-01 02:00:00,U014,0.12,1,meter_bypass
2026-01-01 03:00:00,U014,0.10,1,meter_bypass
2026-01-01 04:00:00,U014,0.14,1,meter_bypass
2026-01-01 05:00:00,U014,0.16,1,meter_bypass
2026-01-01 06:00:00,U014,0.20,1,meter_bypass
2026-01-01 07:00:00,U014,0.18,1,meter_bypass
2026-01-01 08:00:00,U014,0.22,1,meter_bypass
2026-01-01 09:00:00,U014,0.19,1,meter_bypass
2026-01-01 10:00:00,U014,0.17,1,meter_bypass
2026-01-01 11:00:00,U014,0.13,1,meter_bypass
2026-01-01 12:00:00,U014,0.11,1,meter_bypass
2026-01-01 13:00:00,U014,0.09,1,meter_bypass
2026-01-01 14:00:00,U014,0.08,1,meter_bypass
2026-01-01 15:00:00,U014,0.09,1,meter_bypass
2026-01-01 16:00:00,U014,0.12,1,meter_bypass
2026-01-01 17:00:00,U014,0.15,1,meter_bypass
2026-01-01 18:00:00,U014,0.19,1,meter_bypass
2026-01-01 19:00:00,U014,0.17,1,meter_bypass
2026-01-01 20:00:00,U014,0.14,1,meter_bypass
2026-01-01 21:00:00,U014,0.12,1,meter_bypass
2026-01-01 22:00:00,U014,0.10,1,meter_bypass
2026-01-01 23:00:00,U014,0.09,1,meter_bypass
2026-01-02 00:00:00,U031,1.55,0,none
2026-01-02 01:00:00,U031,1.49,0,none
2026-01-02 02:00:00,U031,1.45,0,none
2026-01-02 03:00:00,U031,1.41,0,none
2026-01-02 04:00:00,U031,1.39,0,none
2026-01-02 05:00:00,U031,1.52,0,none
2026-01-02 06:00:00,U031,1.74,0,none
2026-01-02 07:00:00,U031,2.12,0,none
2026-01-02 08:00:00,U031,2.38,0,none
2026-01-02 09:00:00,U031,2.05,0,none
2026-01-02 10:00:00,U031,1.91,0,none
2026-01-02 11:00:00,U031,1.80,0,none
2026-01-02 12:00:00,U031,1.76,0,none
2026-01-02 13:00:00,U031,1.79,0,none
2026-01-02 14:00:00,U031,1.88,0,none
2026-01-02 15:00:00,U031,1.94,0,none
2026-01-02 16:00:00,U031,2.06,0,none
2026-01-02 17:00:00,U031,2.26,0,none
2026-01-02 18:00:00,U031,2.50,0,none
2026-01-02 19:00:00,U031,2.35,0,none
2026-01-02 20:00:00,U031,2.08,0,none
2026-01-02 21:00:00,U031,1.92,0,none
2026-01-02 22:00:00,U031,1.71,0,none
2026-01-02 23:00:00,U031,1.60,0,none
2026-01-02 00:00:00,U077,0.72,1,load_reduction
2026-01-02 01:00:00,U077,0.68,1,load_reduction
2026-01-02 02:00:00,U077,0.64,1,load_reduction
2026-01-02 03:00:00,U077,0.62,1,load_reduction
2026-01-02 04:00:00,U077,0.60,1,load_reduction
2026-01-02 05:00:00,U077,0.66,1,load_reduction
2026-01-02 06:00:00,U077,0.74,1,load_reduction
2026-01-02 07:00:00,U077,0.82,1,load_reduction
2026-01-02 08:00:00,U077,0.85,1,load_reduction
2026-01-02 09:00:00,U077,0.78,1,load_reduction
2026-01-02 10:00:00,U077,0.73,1,load_reduction
2026-01-02 11:00:00,U077,0.69,1,load_reduction
2026-01-02 12:00:00,U077,0.67,1,load_reduction
2026-01-02 13:00:00,U077,0.68,1,load_reduction
2026-01-02 14:00:00,U077,0.70,1,load_reduction
2026-01-02 15:00:00,U077,0.72,1,load_reduction
2026-01-02 16:00:00,U077,0.75,1,load_reduction
2026-01-02 17:00:00,U077,0.80,1,load_reduction
2026-01-02 18:00:00,U077,0.88,1,load_reduction
2026-01-02 19:00:00,U077,0.83,1,load_reduction
2026-01-02 20:00:00,U077,0.76,1,load_reduction
2026-01-02 21:00:00,U077,0.71,1,load_reduction
2026-01-02 22:00:00,U077,0.67,1,load_reduction
2026-01-02 23:00:00,U077,0.65,1,load_reduction
